id	class	pos	qual	aScore	numN	readLen	junction	strand	posR2	qualR2	aScoreR2	numNR2	readLenR2	junctionR2	strandR2
NS500749:265:HVGWKBGX2:4:13605:20457:7223	linearArtifact	116	42	0	0	75	chr1|MARK1:220831176|MARK1:220835153|reg|+	16	111	42	0	0	75	chr1|MARK1:220826694|MARK1:220831131|reg|+	0
NS500749:265:HVGWKBGX2:4:22505:9986:15154	linearStrong	116	42	0	0	76	chr1|MARK1:220754460|MARK1:220771672|reg|+	16	103	42	0	0	76	chr1|MARK1:220752899|MARK1:220754406|reg|+	0
NS500749:265:HVGWKBGX2:3:22608:11479:1076	linearStrong	116	42	0	0	76	chr1|MARK1:220754460|MARK1:220771672|reg|+	16	103	42	0	0	76	chr1|MARK1:220752899|MARK1:220754406|reg|+	0
NS500749:265:HVGWKBGX2:2:13102:20461:6754	linearStrong	116	42	0	0	76	chr1|MARK1:220754460|MARK1:220771672|reg|+	16	99	42	0	0	75	chr1|MARK1:220752899|MARK1:220754406|reg|+	0
NS500749:265:HVGWKBGX2:1:21303:8489:6701	linearStrong	103	42	0	0	74	chr1|MARK1:220754460|MARK1:220771672|reg|+	16	220752826	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:4:13505:21827:12089	unmapped	108	42	0	0	76	chr1|MARK1:220754460|MARK1:220771672|reg|+	16	NA	NA	NA	NA	NA	NA	NA
NS500749:265:HVGWKBGX2:4:12512:13520:10174	unmapped	108	42	0	0	76	chr1|MARK1:220754460|MARK1:220771672|reg|+	16	NA	NA	NA	NA	NA	NA	NA
NS500749:265:HVGWKBGX2:4:11403:24489:3039	unmapped	116	42	0	0	76	chr1|MARK1:220754460|MARK1:220771672|reg|+	16	NA	NA	NA	NA	NA	NA	NA
NS500749:265:HVGWKBGX2:3:13608:2082:8316	unmapped	125	42	0	1	76	chr1|MARK1:220754460|MARK1:220771672|reg|+	16	NA	NA	NA	NA	NA	NA	NA
NS500749:265:HVGWKBGX2:2:21302:5383:12339	linearArtifact	102	42	0	0	72	chr1|MARK1:220792097|MARK1:220804376|reg|+	16	220792010	42	0	0	73	chr1	0
NS500749:265:HVGWKBGX2:1:12112:13283:10035	linearArtifact	132	42	0	0	75	chr1|MARK1:220792097|MARK1:220804376|reg|+	16	123	42	-3	0	76	chr1|MARK1:220791888|MARK1:220791977|reg|+	0
NS500749:265:HVGWKBGX2:3:23606:13821:13451	linearArtifact	107	23	-8	0	76	chr1|MARK1:220777479|MARK1:220789280|reg|+	16	117	40	-5	0	75	chr1|MARK1:220754460|MARK1:220771672|reg|+	0
NS500749:265:HVGWKBGX2:2:23201:16465:7608	linearArtifact	123	40	-5	0	76	chr1|MARK1:220777479|MARK1:220789280|reg|+	16	103	42	0	0	75	chr1|MARK1:220773205|MARK1:220777408|reg|+	0
NS500749:265:HVGWKBGX2:3:21501:25500:8306	unmapped	123	42	0	0	76	chr1|MARK1:220777479|MARK1:220789280|reg|+	16	NA	NA	NA	NA	NA	NA	NA
NS500749:265:HVGWKBGX2:4:23607:11515:16104	linearStrong	117	42	0	0	76	chr1|MARK1:220808871|MARK1:220809174|reg|+	16	220805550	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:4:22612:22060:12314	linearStrong	95	42	0	0	75	chr1|MARK1:220808871|MARK1:220809174|reg|+	16	220808794	42	0	0	75	chr1	0
NS500749:265:HVGWKBGX2:3:22508:18455:15848	linearStrong	106	42	0	0	76	chr1|MARK1:220808871|MARK1:220809174|reg|+	16	220808781	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:2:23108:15439:1489	linearStrong	95	42	0	0	76	chr1|MARK1:220808871|MARK1:220809174|reg|+	16	106	42	-3	0	75	chr1|MARK1:220805655|MARK1:220808717|reg|+	0
NS500749:265:HVGWKBGX2:2:22305:5460:2595	linearStrong	90	24	-6	0	74	chr1|MARK1:220808871|MARK1:220809174|reg|+	16	220808758	40	-5	0	76	chr1	0
NS500749:265:HVGWKBGX2:2:22206:6678:10971	linearStrong	95	42	0	0	76	chr1|MARK1:220808871|MARK1:220809174|reg|+	16	105	42	0	0	75	chr1|MARK1:220805655|MARK1:220808717|reg|+	0
NS500749:265:HVGWKBGX2:2:13303:12170:14475	linearStrong	95	42	0	0	76	chr1|MARK1:220808871|MARK1:220809174|reg|+	16	105	42	0	0	75	chr1|MARK1:220805655|MARK1:220808717|reg|+	0
NS500749:265:HVGWKBGX2:2:13301:14611:18275	linearStrong	90	40	-5	0	76	chr1|MARK1:220808871|MARK1:220809174|reg|+	16	220805583	8	-10	0	76	chr1	0
NS500749:265:HVGWKBGX2:2:13110:18672:1799	linearStrong	96	42	0	0	76	chr1|MARK1:220808871|MARK1:220809174|reg|+	16	220805549	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:1:23308:15355:11153	linearStrong	117	42	0	0	76	chr1|MARK1:220808871|MARK1:220809174|reg|+	16	220805550	24	-6	0	76	chr1	0
NS500749:265:HVGWKBGX2:1:22103:4272:18769	linearStrong	135	42	0	0	76	chr1|MARK1:220808871|MARK1:220809174|reg|+	16	220808786	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:1:13308:9908:16629	linearStrong	95	42	0	0	76	chr1|MARK1:220808871|MARK1:220809174|reg|+	16	105	42	0	0	75	chr1|MARK1:220805655|MARK1:220808717|reg|+	0
NS500749:265:HVGWKBGX2:1:12206:2485:11349	linearStrong	115	42	0	0	75	chr1|MARK1:220808871|MARK1:220809174|reg|+	16	131	42	0	0	76	chr1|MARK1:220804476|MARK1:220805542|reg|+	0
NS500749:265:HVGWKBGX2:1:21311:25924:17138	unmapped	117	42	-3	0	75	chr1|MARK1:220752899|MARK1:220754406|reg|+	16	NA	NA	NA	NA	NA	NA	NA
NS500749:265:HVGWKBGX2:3:22404:22299:15710	linearStrong	129	42	0	0	74	chr1|MARK1:220805655|MARK1:220808717|reg|+	16	92	39	0	0	76	chr1|MARK1:220804476|MARK1:220805542|reg|+	0
NS500749:265:HVGWKBGX2:2:12306:9099:5833	linearStrong	101	42	0	0	75	chr1|MARK1:220805655|MARK1:220808717|reg|+	16	99	42	0	0	76	chr1|MARK1:220804476|MARK1:220805542|reg|+	0
NS500749:265:HVGWKBGX2:1:22108:11235:7327	linearStrong	112	42	0	0	75	chr1|MARK1:220805655|MARK1:220808717|reg|+	16	220805545	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:3:23410:26276:11527	unmapped	97	42	0	0	76	chr1|MARK1:220805655|MARK1:220808717|reg|+	16	NA	NA	NA	NA	NA	NA	NA
NS500749:265:HVGWKBGX2:2:21205:13171:7729	unmapped	97	0	-15	0	76	chr1|MARK1:220805655|MARK1:220808717|reg|+	16	NA	NA	NA	NA	NA	NA	NA
NS500749:265:HVGWKBGX2:3:22410:21139:5466	linearArtifact	137	42	-3	0	75	chr1|MARK1:220824062|MARK1:220825327|reg|+	16	127	42	0	0	76	chr1|MARK1:220809368|MARK1:220823961|reg|+	0
NS500749:265:HVGWKBGX2:4:21402:14695:2008	linearStrong	134	39	0	0	75	chr1|MARK1:220773205|MARK1:220777408|reg|+	16	92	39	0	0	76	chr1|MARK1:220773205|MARK1:220777408|reg|+	0
NS500749:265:HVGWKBGX2:2:13308:7575:5894	linearStrong	128	40	-5	0	76	chr1|MARK1:220773205|MARK1:220777408|reg|+	16	94	23	0	8	76	chr1|MARK1:220771721|MARK1:220773139|reg|+	0
NS500749:265:HVGWKBGX2:1:11207:2778:9851	linearStrong	127	42	0	0	75	chr1|MARK1:220773205|MARK1:220777408|reg|+	16	95	24	0	7	76	chr1|MARK1:220771721|MARK1:220773139|reg|+	0
NS500749:265:HVGWKBGX2:4:22511:2654:13786	unmapped	127	24	-6	0	75	chr1|MARK1:220773205|MARK1:220777408|reg|+	16	NA	NA	NA	NA	NA	NA	NA
NS500749:265:HVGWKBGX2:4:21510:2951:10785	linearStrong	114	42	0	0	76	chr1|MARK1:220771721|MARK1:220773139|reg|+	16	122	42	0	0	76	chr1|MARK1:220752899|MARK1:220754406|reg|+	0
NS500749:265:HVGWKBGX2:4:21504:16922:16342	linearStrong	135	38	0	0	75	chr1|MARK1:220771721|MARK1:220773139|reg|+	16	97	40	0	5	75	chr1|MARK1:220771721|MARK1:220773139|reg|+	0
NS500749:265:HVGWKBGX2:2:23305:8840:14691	linearStrong	108	23	-8	0	75	chr1|MARK1:220771721|MARK1:220773139|reg|+	16	115	42	0	0	75	chr1|MARK1:220752899|MARK1:220754406|reg|+	0
NS500749:265:HVGWKBGX2:4:12601:21813:6208	anomaly	88	0	0	14	76	chr1|MARK1:220771721|MARK1:220773139|reg|+	16	220791989	42	0	0	75	chr1	0
NS500749:265:HVGWKBGX2:3:23403:1991:19938	anomaly	135	38	0	0	75	chr1|MARK1:220771721|MARK1:220773139|reg|+	16	122	24	-6	0	75	chr1|MARK1:220791888|MARK1:220791977|reg|+	0
NS500749:265:HVGWKBGX2:3:22606:25227:3630	anomaly	120	24	-6	0	76	chr1|MARK1:220771721|MARK1:220773139|reg|+	16	220792010	42	0	0	73	chr1	0
NS500749:265:HVGWKBGX2:1:11311:25526:8707	anomaly	111	42	0	0	76	chr1|MARK1:220771721|MARK1:220773139|reg|+	16	220792010	42	0	0	73	chr1	0
NS500749:265:HVGWKBGX2:4:13605:15552:17615	unmapped	135	38	0	0	75	chr1|MARK1:220771721|MARK1:220773139|reg|+	16	NA	NA	NA	NA	NA	NA	NA
NS500749:265:HVGWKBGX2:2:12104:10870:6303	unmapped	104	42	0	0	76	chr1|MARK1:220771721|MARK1:220773139|reg|+	16	NA	NA	NA	NA	NA	NA	NA
NS500749:265:HVGWKBGX2:1:12109:10208:19001	unmapped	135	38	0	0	75	chr1|MARK1:220771721|MARK1:220773139|reg|+	16	NA	NA	NA	NA	NA	NA	NA
NS500749:265:HVGWKBGX2:4:12608:14032:2425	circArtifact	131	42	0	0	76	chr1|MARK1:220771721|MARK1:220752695|rev|+	16	104	42	0	0	72	chr1|MARK1:220754460|MARK1:220771672|reg|+	0
NS500749:265:HVGWKBGX2:4:11606:6204:13880	linearStrong	92	40	-5	0	76	chr1|MARK1:220791888|MARK1:220791977|reg|+	16	220791744	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:3:13509:11569:16284	linearStrong	130	42	0	0	75	chr1|MARK1:220791888|MARK1:220791977|reg|+	16	220791790	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:3:13509:8465:7869	linearStrong	122	42	0	0	74	chr1|MARK1:220791888|MARK1:220791977|reg|+	16	220791776	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:3:12405:17174:2788	linearStrong	125	42	0	0	74	chr1|MARK1:220791888|MARK1:220791977|reg|+	16	220791780	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:2:23312:11092:3059	linearStrong	122	42	0	0	74	chr1|MARK1:220791888|MARK1:220791977|reg|+	16	220791739	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:2:22301:20686:11996	linearStrong	99	42	0	0	75	chr1|MARK1:220791888|MARK1:220791977|reg|+	16	220791757	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:2:12209:2062:13625	linearStrong	116	42	0	0	76	chr1|MARK1:220791888|MARK1:220791977|reg|+	16	220791801	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:2:12111:18697:17842	linearStrong	133	39	0	0	76	chr1|MARK1:220791888|MARK1:220791977|reg|+	16	220791806	42	0	0	75	chr1	0
NS500749:265:HVGWKBGX2:4:12509:19960:19701	unmapped	118	42	0	0	76	chr1|MARK1:220791888|MARK1:220791977|reg|+	16	NA	NA	NA	NA	NA	NA	NA
NS500749:265:HVGWKBGX2:3:21405:26324:6119	circStrong	117	42	0	0	75	chr1|MARK1:220792097|MARK1:220771672|rev|+	16	99	42	0	0	75	chr1|MARK1:220791888|MARK1:220791977|reg|+	0
NS500749:265:HVGWKBGX2:3:13609:13049:12796	circStrong	117	42	0	0	75	chr1|MARK1:220792097|MARK1:220771672|rev|+	16	220792018	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:2:23104:14277:5968	circStrong	117	42	0	0	75	chr1|MARK1:220792097|MARK1:220771672|rev|+	16	99	42	0	0	75	chr1|MARK1:220791888|MARK1:220791977|reg|+	0
NS500749:265:HVGWKBGX2:2:22205:6389:14313	circStrong	109	42	0	0	76	chr1|MARK1:220792097|MARK1:220771672|rev|+	16	220792010	42	0	0	73	chr1	0
NS500749:265:HVGWKBGX2:2:11105:17453:13313	circStrong	108	42	0	0	76	chr1|MARK1:220792097|MARK1:220771672|rev|+	16	220792018	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:1:12201:1178:12759	circStrong	114	42	0	0	75	chr1|MARK1:220792097|MARK1:220771672|rev|+	16	220792010	42	-3	0	73	chr1	0
NS500749:265:HVGWKBGX2:1:11208:12449:15189	circStrong	117	42	0	0	75	chr1|MARK1:220792097|MARK1:220771672|rev|+	16	99	42	0	0	75	chr1|MARK1:220791888|MARK1:220791977|reg|+	0
NS500749:265:HVGWKBGX2:1:21308:11537:12982	unmapped	117	42	0	0	75	chr1|MARK1:220792097|MARK1:220771672|rev|+	16	NA	NA	NA	NA	NA	NA	NA
NS500749:265:HVGWKBGX2:4:22501:4106:16361	linearStrong	93	42	0	0	76	chr1|MARK1:220809368|MARK1:220823961|reg|+	16	220809261	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:4:21611:16157:11809	linearStrong	104	42	0	0	76	chr1|MARK1:220809368|MARK1:220823961|reg|+	16	220809261	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:1:13312:5073:4410	linearStrong	109	42	0	0	74	chr1|MARK1:220809368|MARK1:220823961|reg|+	16	220809272	42	0	0	75	chr1	0
NS500749:265:HVGWKBGX2:1:12106:11466:14426	linearStrong	90	42	0	0	76	chr1|MARK1:220809368|MARK1:220823961|reg|+	16	220808790	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:2:12304:26035:19472	unmapped	131	42	-3	0	76	chr1|MARK1:220809368|MARK1:220823961|reg|+	16	NA	NA	NA	NA	NA	NA	NA
NS500749:265:HVGWKBGX2:1:12104:19624:4154	circArtifact	133	42	-3	0	76	chr1|MARK1:220792097|MARK1:220752695|rev|+	16	220792002	24	-6	0	75	chr1	0
